uid,year,technology,new_build,tonnes,plant_capacity,capex_usd,opex_usd_year,leftover_abatement,cost_per_tonne_abated,abatement_tech_sector,region,gics_sector
C001,2025,Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,0,2008.2117767192012,Industrials,Global,Real Estate
C001,2025,Carbon Capture and Storage,True,215712,215712,453420000.0,18607317.12,0,2188.2292923898535,Energy,Global,Real Estate
C001,2025,Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,0,3303.535443241283,Materials,Global,Real Estate
C001,2025,Grid-scale Battery Storage,True,77765,77765,255810000.0,7048619.6,0,3380.1661364367,Utilities,Global,Real Estate
C001,2025,Heat Pumps,True,10804,10804,63060000.0,379544.52,0,5871.857138097002,Consumer Discretionary,Global,Real Estate
C001,2025,Electrification of Equipment,True,13564,13564,93520000.0,889662.76,0,6960.311321144205,Industrials,Global,Real Estate
C001,2025,Wind Power,True,90187,90187,631170000.0,3027577.59,0,7032.028757914111,Energy,Global,Real Estate
C001,2025,Process Electrification,True,39737,39737,325880000.0,3112201.84,0,8279.241055942824,Materials,Global,Real Estate
C001,2025,EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,0,11706.58782531194,Consumer Discretionary,Global,Real Estate
C001,2025,Smart Grid Tech,True,10889,10889,146120000.0,669237.9400000001,0,13480.506744420974,Utilities,Global,Real Estate
C001,2026,Energy Efficiency Upgrades,True,23412,39466,77400000.0,1101066.36,16054,2008.2117767192012,Industrials,Global,Real Estate
C001,2027,Energy Efficiency Upgrades,False,16054,39466,0.0,755019.62,0,47.03,Industrials,Global,Real Estate
C001,2027,Energy Efficiency Upgrades,True,7357,39466,77400000.0,345999.71,32109,2008.2117767192012,Industrials,Global,Real Estate
C001,2028,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,8697,47.03,Industrials,Global,Real Estate
C001,2029,Energy Efficiency Upgrades,False,8697,39466,0.0,409019.91000000003,0,47.03,Industrials,Global,Real Estate
C001,2029,Energy Efficiency Upgrades,True,14714,39466,77400000.0,691999.42,24752,2008.2117767192012,Industrials,Global,Real Estate
C001,2030,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,1340,47.03,Industrials,Global,Real Estate
C001,2031,Energy Efficiency Upgrades,False,1340,39466,0.0,63020.200000000004,0,47.03,Industrials,Global,Real Estate
C001,2031,Energy Efficiency Upgrades,True,22072,39466,77400000.0,1038046.16,17394,2008.2117767192012,Industrials,Global,Real Estate
C001,2032,Energy Efficiency Upgrades,False,17394,39466,0.0,818039.8200000001,0,47.03,Industrials,Global,Real Estate
C001,2032,Energy Efficiency Upgrades,True,6017,39466,77400000.0,282979.51,33449,2008.2117767192012,Industrials,Global,Real Estate
C001,2033,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,10037,47.03,Industrials,Global,Real Estate
C001,2034,Energy Efficiency Upgrades,False,10037,39466,0.0,472040.11,0,47.03,Industrials,Global,Real Estate
C001,2034,Energy Efficiency Upgrades,True,13374,39466,77400000.0,628979.22,26092,2008.2117767192012,Industrials,Global,Real Estate
C001,2035,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,2680,47.03,Industrials,Global,Real Estate
C001,2036,Energy Efficiency Upgrades,False,2680,39466,0.0,126040.40000000001,0,47.03,Industrials,Global,Real Estate
C001,2036,Energy Efficiency Upgrades,True,20732,39466,77400000.0,975025.9600000001,18734,2008.2117767192012,Industrials,Global,Real Estate
C001,2037,Energy Efficiency Upgrades,False,18734,39466,0.0,881060.02,0,47.03,Industrials,Global,Real Estate
C001,2037,Energy Efficiency Upgrades,True,4677,39466,77400000.0,219959.31,34789,2008.2117767192012,Industrials,Global,Real Estate
C001,2038,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,11377,47.03,Industrials,Global,Real Estate
C001,2039,Energy Efficiency Upgrades,False,11377,39466,0.0,535060.31,0,47.03000000000001,Industrials,Global,Real Estate
C001,2039,Energy Efficiency Upgrades,True,12034,39466,77400000.0,565959.02,27432,2008.2117767192012,Industrials,Global,Real Estate
C001,2040,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,4020,47.03,Industrials,Global,Real Estate
C001,2041,Energy Efficiency Upgrades,False,4020,39466,0.0,189060.6,0,47.03,Industrials,Global,Real Estate
C001,2041,Energy Efficiency Upgrades,True,19392,39466,77400000.0,912005.76,20074,2008.2117767192012,Industrials,Global,Real Estate
C001,2042,Energy Efficiency Upgrades,False,20074,39466,0.0,944080.22,0,47.03,Industrials,Global,Real Estate
C001,2042,Energy Efficiency Upgrades,True,3337,39466,77400000.0,156939.11000000002,36129,2008.2117767192012,Industrials,Global,Real Estate
C001,2043,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,12717,47.03,Industrials,Global,Real Estate
C001,2044,Energy Efficiency Upgrades,False,12717,39466,0.0,598080.51,0,47.03,Industrials,Global,Real Estate
C001,2044,Energy Efficiency Upgrades,True,10694,39466,77400000.0,502938.82,28772,2008.2117767192012,Industrials,Global,Real Estate
C001,2045,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,5360,47.03,Industrials,Global,Real Estate
C001,2046,Energy Efficiency Upgrades,False,5360,39466,0.0,252080.80000000002,0,47.03,Industrials,Global,Real Estate
C001,2046,Energy Efficiency Upgrades,True,18052,39466,77400000.0,848985.56,21414,2008.2117767192012,Industrials,Global,Real Estate
C001,2047,Energy Efficiency Upgrades,False,21414,39466,0.0,1007100.42,0,47.03,Industrials,Global,Real Estate
C001,2047,Energy Efficiency Upgrades,True,1997,39466,77400000.0,93918.91,37469,2008.2117767192012,Industrials,Global,Real Estate
C001,2048,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,14057,47.03,Industrials,Global,Real Estate
C001,2049,Energy Efficiency Upgrades,False,14057,39466,0.0,661100.71,0,47.029999999999994,Industrials,Global,Real Estate
C001,2049,Energy Efficiency Upgrades,True,9354,39466,77400000.0,439918.62,30112,2008.2117767192012,Industrials,Global,Real Estate
C001,2050,Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,6700,47.03,Industrials,Global,Real Estate
C002,2025,Carbon Capture and Storage,True,215712,215712,453420000.0,18607317.12,0,2188.2292923898535,Energy,Brazil,Energy
C002,2025,Wind Power,True,90187,90187,631170000.0,3027577.59,0,7032.028757914111,Energy,Brazil,Energy
C002,2026,Carbon Capture and Storage,True,91980,215712,453420000.0,7934194.800000001,123732,2188.2292923898535,Energy,Brazil,Energy
C002,2027,Carbon Capture and Storage,False,91980,215712,0.0,7934194.800000001,31752,86.26,Energy,Brazil,Energy
C002,2028,Carbon Capture and Storage,False,31752,215712,0.0,2738927.52,0,86.26,Energy,Brazil,Energy
C002,2028,Carbon Capture and Storage,True,60228,215712,453420000.0,5195267.28,155484,2188.2292923898535,Energy,Brazil,Energy
C002,2029,Carbon Capture and Storage,False,91980,215712,0.0,7934194.800000001,63504,86.26,Energy,Brazil,Energy
C002,2030,Carbon Capture and Storage,False,63504,215712,0.0,5477855.04,0,86.26,Energy,Brazil,Energy
C002,2030,Carbon Capture and Storage,True,28476,215712,453420000.0,2456339.7600000002,187236,2188.2292923898535,Energy,Brazil,Energy
C002,2031,Carbon Capture and Storage,False,91980,215712,0.0,7934194.800000001,95256,86.26,Energy,Brazil,Energy
C002,2032,Carbon Capture and Storage,False,91980,215712,0.0,7934194.800000001,3276,86.26,Energy,Brazil,Energy
C002,2033,Carbon Capture and Storage,False,3276,215712,0.0,282587.76,0,86.26,Energy,Brazil,Energy
C002,2033,Carbon Capture and Storage,True,88704,215712,453420000.0,7651607.04,127008,2188.2292923898535,Energy,Brazil,Energy
C002,2034,Carbon Capture and Storage,False,91980,215712,0.0,7934194.800000001,35028,86.26,Energy,Brazil,Energy
C002,2035,Carbon Capture and Storage,False,35028,215712,0.0,3021515.2800000003,0,86.26,Energy,Brazil,Energy
