uid,total_capex_usd,total_opex_usd,total_abated_tonnes
C001,4418190000.0,19648185.3,585290.0
C002,8205210000.0,36704565.18,1093374.0
C003,22490500000.0,192004868.0,6939120.0
C004,4827500000.0,42186498.0,3222320.0
C005,59751380000.0,1110492186.18,0.0
C006,11189750000.0,223131925.5,4262360.0
C008,4273000000.0,68643718.5,1531800.0
C009,9535300000.0,487092177.26,7281890.0
C010,30623690000.0,316283616.65000004,5641760.0
C011,11189750000.0,223131925.5,7425000.0
C012,2524680000.0,10275441.3,306090.0
C013,32125230000.0,235828479.46,4956000.0
C014,32072570000.0,409676021.25,6758160.0
C015,4273000000.0,68643718.5,3155880.0
C016,17527830000.0,102377255.94,2853250.0
C017,41519510000.0,601022981.59,9193600.0
C018,0.0,0.0,0.0
C019,14503000000.0,192313152.0,5465140.0
C020,18313230000.0,109220375.3,3030520.0
C021,6942870000.0,31430919.6,936280.0
C022,15905370000.0,76287963.48,2271500.0
C023,25252630000.0,173143969.47,4128600.0
C024,4859590000.0,86467719.3,1000760.0
C025,37739130000.0,463414860.21000004,7584920.0
C027,0.0,0.0,0.0
C028,19290750000.0,131298727.7,3505440.0
C029,4827500000.0,42186498.0,15024480.0
C030,9467550000.0,44610501.6,1328880.0
C031,4273000000.0,68643718.5,5503710.0
C032,3584680000.0,31929497.599999998,407680.0
C033,47322350000.0,780557081.25,11246400.0
C034,558640000.0,778537.32,17606.0
C035,59751380000.0,1110492186.18,0.0
C036,1893510000.0,8244187.74,245582.0
C037,875760000.0,23410159.499999996,751530.0
C038,19729110000.0,133224280.11,3536360.0
C039,14796080000.0,948562888.78,0.0
C040,44310830000.0,692138293.85,10260860.0
C041,27337530000.0,305101603.21,5418560.0
C042,17286990000.0,88546690.1,2580000.0
C043,27114750000.0,540872367.75,15916950.0
C044,0.0,0.0,0.0
C045,0.0,0.0,0.0
C046,47066540000.0,776316655.95,11201190.0
C047,57453250000.0,1067780948.25,14547570.0
C048,2137260000.0,33646250.0,687500.0
C049,35847530000.0,440512978.03000003,7198923.0
C050,11189750000.0,223131925.5,2456890.0
