uid,year,abatement_tonnes,capex_usd,opex_usd_year,cum_capex_usd,cum_opex_usd
C001,2025,0.0,0.0,0.0,0.0,0.0
C001,2026,23412.0,631170000.0,785940.84,631170000.0,785940.84
C001,2027,23411.0,0.0,785907.27,631170000.0,1571848.1099999999
C001,2028,23412.0,0.0,785940.84,631170000.0,2357788.9499999997
C001,2029,23411.0,631170000.0,785907.27,1262340000.0,3143696.2199999997
C001,2030,23412.0,0.0,785940.84,1262340000.0,3929637.0599999996
C001,2031,23412.0,0.0,785940.84,1262340000.0,4715577.899999999
C001,2032,23411.0,0.0,785907.27,1262340000.0,5501485.17
C001,2033,23412.0,631170000.0,785940.8400000001,1893510000.0,6287426.01
C001,2034,23411.0,0.0,785907.27,1893510000.0,7073333.279999999
C001,2035,23412.0,0.0,785940.84,1893510000.0,7859274.119999999
C001,2036,23412.0,0.0,785940.84,1893510000.0,8645214.959999999
C001,2037,23411.0,631170000.0,785907.27,2524680000.0,9431122.229999999
C001,2038,23412.0,0.0,785940.84,2524680000.0,10217063.069999998
C001,2039,23411.0,0.0,785907.27,2524680000.0,11002970.339999998
C001,2040,23412.0,0.0,785940.84,2524680000.0,11788911.179999998
C001,2041,23412.0,631170000.0,785940.8400000001,3155850000.0,12574852.019999998
C001,2042,23411.0,0.0,785907.27,3155850000.0,13360759.289999997
C001,2043,23412.0,0.0,785940.84,3155850000.0,14146700.129999997
C001,2044,23411.0,0.0,785907.27,3155850000.0,14932607.399999997
C001,2045,23412.0,631170000.0,785940.8400000001,3787020000.0,15718548.239999996
C001,2046,23412.0,0.0,785940.84,3787020000.0,16504489.079999996
C001,2047,23411.0,0.0,785907.27,3787020000.0,17290396.349999998
C001,2048,23412.0,0.0,785940.84,3787020000.0,18076337.189999998
C001,2049,23411.0,631170000.0,785907.27,4418190000.0,18862244.459999997
C001,2050,23412.0,0.0,785940.84,4418190000.0,19648185.299999997
C002,2025,0.0,0.0,0.0,0.0,0.0
C002,2026,27200.0,631170000.0,913104.0,631170000.0,913104.0
C002,2027,28401.0,0.0,953421.5700000001,631170000.0,1866525.57
C002,2028,29623.0,0.0,994444.11,631170000.0,2860969.68
C002,2029,30867.0,631170000.0,1036205.1900000001,1262340000.0,3897174.87
C002,2030,32132.0,0.0,1078671.24,1262340000.0,4975846.11
C002,2031,33421.0,631170000.0,1121942.97,1893510000.0,6097789.08
C002,2032,34732.0,0.0,1165953.24,1893510000.0,7263742.32
C002,2033,36065.0,0.0,1210702.05,1893510000.0,8474444.370000001
C002,2034,37421.0,631170000.0,1256222.97,2524680000.0,9730667.340000002
C002,2035,38802.0,0.0,1302583.14,2524680000.0,11033250.480000002
C002,2036,40206.0,631170000.0,1349715.4200000002,3155850000.0,12382965.900000002
C002,2037,41634.0,0.0,1397653.3800000001,3155850000.0,13780619.280000003
C002,2038,43087.0,631170000.0,1446430.5899999999,3787020000.0,15227049.870000003
C002,2039,44564.0,0.0,1496013.48,3787020000.0,16723063.350000003
C002,2040,46068.0,631170000.0,1546502.76,4418190000.0,18269566.110000003
C002,2041,47596.0,0.0,1597797.72,4418190000.0,19867363.830000002
C002,2042,49150.0,631170000.0,1649965.5,5049360000.0,21517329.330000002
C002,2043,50732.0,0.0,1703073.24,5049360000.0,23220402.57
C002,2044,52339.0,631170000.0,1757020.23,5680530000.0,24977422.8
C002,2045,53973.0,0.0,1811873.61,5680530000.0,26789296.41
C002,2046,55636.0,631170000.0,1867700.52,6311700000.0,28656996.93
C002,2047,57325.0,631170000.0,1924400.25,6942870000.0,30581397.18
C002,2048,59044.0,0.0,1982107.08,6942870000.0,32563504.259999998
C002,2049,60790.0,631170000.0,2040720.3,7574040000.0,34604224.559999995
C002,2050,62566.0,631170000.0,2100340.62,8205210000.0,36704565.17999999
C003,2025,0.0,0.0,0.0,0.0,0.0
C003,2026,277565.0,899620000.0,7680194.72,899620000.0,7680194.72
