uid,sector,country,year,risk_scenario,total_emissions_tonnes,emissions_abated,price_of_carbon,carbon_cost_total_usd,carbon_cost_avoided_usd,abated_tonnes_cost
C001,Utilities,Global,2025,Low Risk,22580000,0,31.659736842105303,714876857.89,0.0,0.0
C001,Utilities,Global,2025,Medium Risk,22580000,0,33.32815789473716,752549805.26,0.0,0.0
C001,Utilities,Global,2025,High Risk,22580000,0,31.18763157894682,704216721.05,0.0,0.0
C001,Utilities,Global,2026,Low Risk,22556588,23412,32.238421052631566,727188781.45,754765.91,754765.91
C001,Utilities,Global,2026,Medium Risk,22556588,23412,35.39894736842052,798479471.42,828760.16,828760.16
C001,Utilities,Global,2026,High Risk,22556588,23412,37.95578947368449,856153105.37,888620.94,888620.94
C001,Utilities,Global,2027,Low Risk,22533177,23411,32.81710526315783,739473641.52,768281.25,768281.25
C001,Utilities,Global,2027,Medium Risk,22533177,23411,37.469736842104794,844312212.41,877204.01,877204.01
C001,Utilities,Global,2027,High Risk,22533177,23411,44.72394736842216,1007772622.19,1047032.33,1047032.33
C001,Utilities,Global,2028,Low Risk,22509765,23412,33.39578947368409,751731373.04,781862.22,781862.22
C001,Utilities,Global,2028,Medium Risk,22509765,23412,39.540526315789066,890047955.34,925722.8,925722.8
C001,Utilities,Global,2028,High Risk,22509765,23412,51.49210526315801,1159075188.83,1205533.17,1205533.17
C001,Utilities,Global,2029,Low Risk,22486354,23411,33.97447368421058,763962042.23,795376.4,795376.4
C001,Utilities,Global,2029,Medium Risk,22486354,23411,41.61131578947334,935686777.25,974162.51,974162.51
C001,Utilities,Global,2029,High Risk,22486354,23411,58.26026315789568,1310060901.5,1363931.02,1363931.02
C001,Utilities,Global,2030,Low Risk,22462942,23412,34.55315789473684,776165581.71,808958.53,808958.53
C001,Utilities,Global,2030,Medium Risk,22462942,23412,43.68210526315761,981228596.96,1022685.45,1022685.45
C001,Utilities,Global,2030,High Risk,22462942,23412,65.02842105263153,1460729650.46,1522445.39,1522445.39
C001,Utilities,Global,2031,Low Risk,22439530,23412,35.131842105263104,788342024.88,822506.69,822506.69
C001,Utilities,Global,2031,Medium Risk,22439530,23412,45.75289473684188,1026673454.03,1071166.77,1071166.77
C001,Utilities,Global,2031,High Risk,22439530,23412,71.7965789473692,1611081487.19,1680901.51,1680901.51
C001,Utilities,Global,2032,Low Risk,22416119,23411,35.710526315789366,800491407.45,836019.13,836019.13
C001,Utilities,Global,2032,Medium Risk,22416119,23411,47.82368421052615,1072021396.28,1119600.27,1119600.27
C001,Utilities,Global,2032,High Risk,22416119,23411,78.56473684210505,1761116490.26,1839279.05,1839279.05
C001,Utilities,Global,2033,Low Risk,22392707,23412,36.28921052631563,812613658.58,849603.0,849603.0
C001,Utilities,Global,2033,Medium Risk,22392707,23412,49.894473684210425,1117272330.13,1168129.42,1168129.42
