uid,sector,country,year,risk_scenario,total_emissions_tonnes,emissions_abated,price_of_carbon,carbon_cost_total_usd,carbon_cost_avoided_usd,abated_tonnes_cost
C001,Utilities,Global,2025,Low Risk,22580000,0,31.659736842105303,714876857.89,0.0,0.0
C001,Utilities,Global,2025,Medium Risk,22580000,0,33.32815789473716,752549805.26,0.0,0.0
C001,Utilities,Global,2025,High Risk,22580000,0,31.18763157894682,704216721.05,0.0,0.0
C001,Utilities,Global,2026,Low Risk,22556588,234120,32.238421052631566,727188781.45,7547659.14,7547659.14
C001,Utilities,Global,2026,Medium Risk,22556588,234120,35.39894736842052,798479471.42,8287601.56,8287601.56
C001,Utilities,Global,2026,High Risk,22556588,234120,37.95578947368449,856153105.37,8886209.43,8886209.43
C001,Utilities,Global,2027,Low Risk,22533177,234110,32.81710526315783,739473641.52,7682812.51,7682812.51
C001,Utilities,Global,2027,Medium Risk,22533177,234110,37.469736842104794,844312212.41,8772040.09,8772040.09
C001,Utilities,Global,2027,High Risk,22533177,234110,44.72394736842216,1007772622.19,10470323.32,10470323.32
C001,Utilities,Global,2028,Low Risk,22509765,234120,33.39578947368409,751731373.04,7818622.23,7818622.23
C001,Utilities,Global,2028,Medium Risk,22509765,234120,39.540526315789066,890047955.34,9257228.02,9257228.02
C001,Utilities,Global,2028,High Risk,22509765,234120,51.49210526315801,1159075188.83,12055331.68,12055331.68
C001,Utilities,Global,2029,Low Risk,22486354,234110,33.97447368421058,763962042.23,7953764.03,7953764.03
C001,Utilities,Global,2029,Medium Risk,22486354,234110,41.61131578947334,935686777.25,9741625.14,9741625.14
C001,Utilities,Global,2029,High Risk,22486354,234110,58.26026315789568,1310060901.5,13639310.21,13639310.21
C001,Utilities,Global,2030,Low Risk,22462942,234120,34.55315789473684,776165581.71,8089585.33,8089585.33
C001,Utilities,Global,2030,Medium Risk,22462942,234120,43.68210526315761,981228596.96,10226854.48,10226854.48
C001,Utilities,Global,2030,High Risk,22462942,234120,65.02842105263153,1460729650.46,15224453.94,15224453.94
C001,Utilities,Global,2031,Low Risk,22439530,234120,35.131842105263104,788342024.88,8225066.87,8225066.87
C001,Utilities,Global,2031,Medium Risk,22439530,234120,45.75289473684188,1026673454.03,10711667.72,10711667.72
C001,Utilities,Global,2031,High Risk,22439530,234120,71.7965789473692,1611081487.19,16809015.06,16809015.06
C001,Utilities,Global,2032,Low Risk,22416119,234110,35.710526315789366,800491407.45,8360191.32,8360191.32
C001,Utilities,Global,2032,Medium Risk,22416119,234110,47.82368421052615,1072021396.28,11196002.71,11196002.71
C001,Utilities,Global,2032,High Risk,22416119,234110,78.56473684210505,1761116490.26,18392790.54,18392790.54
C001,Utilities,Global,2033,Low Risk,22392707,234120,36.28921052631563,812613658.58,8496029.97,8496029.97
