uid,year,region,gics_sector,abatement_tonnes,capex_usd,opex_usd_year,cum_capex_usd,cum_opex_usd,technology_used,plant_capacity_built_this_year
C001,2025,Global,Real Estate,0.0,0.0,0.0,0.0,0.0,,0
C001,2026,Global,Real Estate,23412.0,77400000.0,1101066.36,77400000.0,1101066.36,Energy Efficiency Upgrades,39466
C001,2027,Global,Real Estate,23411.0,0.0,1101019.33,77400000.0,2202085.6900000004,Energy Efficiency Upgrades,0
C001,2028,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,3303152.0500000007,Energy Efficiency Upgrades,0
C001,2029,Global,Real Estate,23411.0,0.0,1101019.33,77400000.0,4404171.380000001,Energy Efficiency Upgrades,0
C001,2030,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,5505237.740000001,Energy Efficiency Upgrades,0
C001,2031,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,6606304.1000000015,Energy Efficiency Upgrades,0
C001,2032,Global,Real Estate,23411.0,0.0,1101019.33,77400000.0,7707323.430000002,Energy Efficiency Upgrades,0
C001,2033,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,8808389.790000001,Energy Efficiency Upgrades,0
C001,2034,Global,Real Estate,23411.0,0.0,1101019.33,77400000.0,9909409.120000001,Energy Efficiency Upgrades,0
C001,2035,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,11010475.48,Energy Efficiency Upgrades,0
C001,2036,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,12111541.84,Energy Efficiency Upgrades,0
C001,2037,Global,Real Estate,23411.0,0.0,1101019.33,77400000.0,13212561.17,Energy Efficiency Upgrades,0
C001,2038,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,14313627.53,Energy Efficiency Upgrades,0
C001,2039,Global,Real Estate,23411.0,0.0,1101019.33,77400000.0,15414646.86,Energy Efficiency Upgrades,0
C001,2040,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,16515713.219999999,Energy Efficiency Upgrades,0
C001,2041,Global,Real Estate,23412.0,0.0,1101066.36,77400000.0,17616779.58,Energy Efficiency Upgrades,0
