uid,gics_sector,country,type_of_target,year,scope1_tonnes,scope2_tonnes,targeted_emissions,scenario,growth_rate,interpolation_method
C001,Real Estate,Global,Scope 2,2025,21510000,1070000,1070000,low,0.0,linear
C001,Real Estate,Global,Scope 2,2026,21510000,1046588,1046588,low,0.0,linear
C001,Real Estate,Global,Scope 2,2027,21510000,1023177,1023177,low,0.0,linear
C001,Real Estate,Global,Scope 2,2028,21510000,999765,999765,low,0.0,linear
C001,Real Estate,Global,Scope 2,2029,21510000,976354,976354,low,0.0,linear
C001,Real Estate,Global,Scope 2,2030,21510000,952942,952942,low,0.0,linear
C001,Real Estate,Global,Scope 2,2031,21510000,929530,929530,low,0.0,linear
C001,Real Estate,Global,Scope 2,2032,21510000,906119,906119,low,0.0,linear
C001,Real Estate,Global,Scope 2,2033,21510000,882707,882707,low,0.0,linear
C001,Real Estate,Global,Scope 2,2034,21510000,859296,859296,low,0.0,linear
C001,Real Estate,Global,Scope 2,2035,21510000,835884,835884,low,0.0,linear
C001,Real Estate,Global,Scope 2,2036,21510000,812472,812472,low,0.0,linear
C001,Real Estate,Global,Scope 2,2037,21510000,789061,789061,low,0.0,linear
C001,Real Estate,Global,Scope 2,2038,21510000,765649,765649,low,0.0,linear
C001,Real Estate,Global,Scope 2,2039,21510000,742238,742238,low,0.0,linear
C001,Real Estate,Global,Scope 2,2040,21510000,718826,718826,low,0.0,linear
C001,Real Estate,Global,Scope 2,2041,21510000,695414,695414,low,0.0,linear
C001,Real Estate,Global,Scope 2,2042,21510000,672003,672003,low,0.0,linear
C001,Real Estate,Global,Scope 2,2043,21510000,648591,648591,low,0.0,linear
C001,Real Estate,Global,Scope 2,2044,21510000,625180,625180,low,0.0,linear
C001,Real Estate,Global,Scope 2,2045,21510000,601768,601768,low,0.0,linear
C001,Real Estate,Global,Scope 2,2046,21510000,578356,578356,low,0.0,linear
C001,Real Estate,Global,Scope 2,2047,21510000,554945,554945,low,0.0,linear
C001,Real Estate,Global,Scope 2,2048,21510000,531533,531533,low,0.0,linear
C001,Real Estate,Global,Scope 2,2049,21510000,508122,508122,low,0.0,linear
C001,Real Estate,Global,Scope 2,2050,21510000,484710,484710,low,0.0,linear
C001,Real Estate,Global,Scope 2,2025,21510000,1070000,1070000,med,0.01,linear
C001,Real Estate,Global,Scope 2,2026,21510000,1046588,1046588,med,0.01,linear
C001,Real Estate,Global,Scope 2,2027,21510000,1023177,1023177,med,0.01,linear
C001,Real Estate,Global,Scope 2,2028,21510000,999765,999765,med,0.01,linear
C001,Real Estate,Global,Scope 2,2029,21510000,976354,976354,med,0.01,linear
C001,Real Estate,Global,Scope 2,2030,21510000,952942,952942,med,0.01,linear
C001,Real Estate,Global,Scope 2,2031,21510000,929530,929530,med,0.01,linear
C001,Real Estate,Global,Scope 2,2032,21510000,906119,906119,med,0.01,linear
C001,Real Estate,Global,Scope 2,2033,21510000,882707,882707,med,0.01,linear
C001,Real Estate,Global,Scope 2,2034,21510000,859296,859296,med,0.01,linear
C001,Real Estate,Global,Scope 2,2035,21510000,835884,835884,med,0.01,linear
C001,Real Estate,Global,Scope 2,2036,21510000,812472,812472,med,0.01,linear
C001,Real Estate,Global,Scope 2,2037,21510000,789061,789061,med,0.01,linear
C001,Real Estate,Global,Scope 2,2038,21510000,765649,765649,med,0.01,linear
C001,Real Estate,Global,Scope 2,2039,21510000,742238,742238,med,0.01,linear
C001,Real Estate,Global,Scope 2,2040,21510000,718826,718826,med,0.01,linear
C001,Real Estate,Global,Scope 2,2041,21510000,695414,695414,med,0.01,linear
C001,Real Estate,Global,Scope 2,2042,21510000,672003,672003,med,0.01,linear
C001,Real Estate,Global,Scope 2,2043,21510000,648591,648591,med,0.01,linear
C001,Real Estate,Global,Scope 2,2044,21510000,625180,625180,med,0.01,linear
C001,Real Estate,Global,Scope 2,2045,21510000,601768,601768,med,0.01,linear
C001,Real Estate,Global,Scope 2,2046,21510000,578356,578356,med,0.01,linear
C001,Real Estate,Global,Scope 2,2047,21510000,554945,554945,med,0.01,linear
C001,Real Estate,Global,Scope 2,2048,21510000,531533,531533,med,0.01,linear
C001,Real Estate,Global,Scope 2,2049,21510000,508122,508122,med,0.01,linear
C001,Real Estate,Global,Scope 2,2050,21510000,484710,484710,med,0.01,linear
C001,Real Estate,Global,Scope 2,2025,21510000,1070000,1070000,high,0.02,linear
C001,Real Estate,Global,Scope 2,2026,21510000,1046588,1046588,high,0.02,linear
C001,Real Estate,Global,Scope 2,2027,21510000,1023177,1023177,high,0.02,linear
C001,Real Estate,Global,Scope 2,2028,21510000,999765,999765,high,0.02,linear
C001,Real Estate,Global,Scope 2,2029,21510000,976354,976354,high,0.02,linear
C001,Real Estate,Global,Scope 2,2030,21510000,952942,952942,high,0.02,linear
C001,Real Estate,Global,Scope 2,2031,21510000,929530,929530,high,0.02,linear
C001,Real Estate,Global,Scope 2,2032,21510000,906119,906119,high,0.02,linear
C001,Real Estate,Global,Scope 2,2033,21510000,882707,882707,high,0.02,linear
C001,Real Estate,Global,Scope 2,2034,21510000,859296,859296,high,0.02,linear
