technology,new_build,tonnes,plant_capacity,capex_usd,opex_usd_year,cost_per_tonne_abated,abatement_tech_sector,uid,year,region,gics_sector
Energy Efficiency Upgrades,True,23412,39466,77400000.0,1101066.36,2008.2117767192012,Industrials,C001,2026,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2027,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2028,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2029,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2030,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2031,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2032,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2033,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2034,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2035,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2036,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2037,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2038,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2039,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2040,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2041,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2042,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2043,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2044,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2045,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2046,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2047,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2048,Global,Real Estate
Energy Efficiency Upgrades,False,23411,39466,0.0,1101019.33,47.03,Industrials,C001,2049,Global,Real Estate
Energy Efficiency Upgrades,False,23412,39466,0.0,1101066.36,47.03,Industrials,C001,2050,Global,Real Estate
Carbon Capture and Storage,True,50000,50000,340980000.0,5258000.0,6924.76,Energy,C003,2026,EU,Energy
Utility-scale Solar,True,54776,54776,558640000.0,2422194.7199999997,10242.847135971957,Energy,C003,2026,EU,Energy
Carbon Capture and Storage,False,50000,50000,0.0,5258000.0,105.16,Energy,C003,2027,EU,Energy
Utility-scale Solar,False,54776,54776,0.0,2422194.7199999997,44.21999999999999,Energy,C003,2027,EU,Energy
Carbon Capture and Storage,True,50000,50000,340980000.0,5258000.0,6924.76,Energy,C003,2027,EU,Energy
Utility-scale Solar,True,54776,54776,558640000.0,2422194.7199999997,10242.847135971957,Energy,C003,2027,EU,Energy
Carbon Capture and Storage,False,100000,100000,0.0,10516000.0,105.16,Energy,C003,2028,EU,Energy
