sector,region,scenario,level_3,year,carbon_price_usd_tco2e
Consumer Discretionary,China,High Risk,0,2025,9.527631578947421
Consumer Discretionary,China,High Risk,1,2026,11.365789473684345
Consumer Discretionary,China,High Risk,2,2027,13.203947368421268
Consumer Discretionary,China,High Risk,3,2028,15.042105263158192
Consumer Discretionary,China,High Risk,4,2029,16.88026315789466
Consumer Discretionary,China,High Risk,5,2030,18.718421052631584
Consumer Discretionary,China,High Risk,6,2031,20.556578947368507
Consumer Discretionary,China,High Risk,7,2032,22.39473684210543
Consumer Discretionary,China,High Risk,8,2033,24.232894736842354
Consumer Discretionary,China,High Risk,9,2034,26.071052631579278
Consumer Discretionary,China,High Risk,10,2035,27.909210526315746
Consumer Discretionary,China,High Risk,11,2036,29.74736842105267
Consumer Discretionary,China,High Risk,12,2037,31.585526315789593
Consumer Discretionary,China,High Risk,13,2038,33.42368421052652
Consumer Discretionary,China,High Risk,14,2039,35.26184210526344
Consumer Discretionary,China,High Risk,15,2040,37.09999999999991
Consumer Discretionary,China,High Risk,16,2041,38.93815789473683
Consumer Discretionary,China,High Risk,17,2042,40.776315789473756
Consumer Discretionary,China,High Risk,18,2043,42.61447368421068
Consumer Discretionary,China,High Risk,19,2044,44.4526315789476
Consumer Discretionary,China,High Risk,20,2045,46.29078947368453
Consumer Discretionary,China,High Risk,21,2046,48.128947368420995
Consumer Discretionary,China,High Risk,22,2047,49.96710526315792
Consumer Discretionary,China,High Risk,23,2048,51.80526315789484
Consumer Discretionary,China,High Risk,24,2049,53.643421052631766
Consumer Discretionary,China,High Risk,25,2050,55.48157894736869
Consumer Discretionary,China,Low Risk,0,2025,9.900263157894727
Consumer Discretionary,China,Low Risk,1,2026,10.001578947368415
Consumer Discretionary,China,Low Risk,2,2027,10.102894736842103
Consumer Discretionary,China,Low Risk,3,2028,10.204210526315762
Consumer Discretionary,China,Low Risk,4,2029,10.30552631578945
Consumer Discretionary,China,Low Risk,5,2030,10.406842105263138
Consumer Discretionary,China,Low Risk,6,2031,10.508157894736826
Consumer Discretionary,China,Low Risk,7,2032,10.609473684210514
Consumer Discretionary,China,Low Risk,8,2033,10.710789473684201
Consumer Discretionary,China,Low Risk,9,2034,10.81210526315789
Consumer Discretionary,China,Low Risk,10,2035,10.913421052631577
Consumer Discretionary,China,Low Risk,11,2036,11.014736842105236
Consumer Discretionary,China,Low Risk,12,2037,11.116052631578924
Consumer Discretionary,China,Low Risk,13,2038,11.217368421052612
Consumer Discretionary,China,Low Risk,14,2039,11.3186842105263
Consumer Discretionary,China,Low Risk,15,2040,11.419999999999987
Consumer Discretionary,China,Low Risk,16,2041,11.521315789473675
Consumer Discretionary,China,Low Risk,17,2042,11.622631578947363
Consumer Discretionary,China,Low Risk,18,2043,11.723947368421051
Consumer Discretionary,China,Low Risk,19,2044,11.82526315789471
Consumer Discretionary,China,Low Risk,20,2045,11.926578947368398
Consumer Discretionary,China,Low Risk,21,2046,12.027894736842086
Consumer Discretionary,China,Low Risk,22,2047,12.129210526315774
Consumer Discretionary,China,Low Risk,23,2048,12.230526315789461
Consumer Discretionary,China,Low Risk,24,2049,12.33184210526315
Consumer Discretionary,China,Low Risk,25,2050,12.433157894736837
Consumer Discretionary,China,Medium Risk,0,2025,9.646578947368425
Consumer Discretionary,China,Medium Risk,1,2026,10.389473684210543
Consumer Discretionary,China,Medium Risk,2,2027,11.13236842105266
Consumer Discretionary,China,Medium Risk,3,2028,11.875263157894778
Consumer Discretionary,China,Medium Risk,4,2029,12.618157894736896
Consumer Discretionary,China,Medium Risk,5,2030,13.361052631579014
Consumer Discretionary,China,Medium Risk,6,2031,14.103947368421132
Consumer Discretionary,China,Medium Risk,7,2032,14.84684210526325
Consumer Discretionary,China,Medium Risk,8,2033,15.589736842105367
Consumer Discretionary,China,Medium Risk,9,2034,16.332631578947485
Consumer Discretionary,China,Medium Risk,10,2035,17.075526315789602
Consumer Discretionary,China,Medium Risk,11,2036,17.81842105263172
Consumer Discretionary,China,Medium Risk,12,2037,18.561315789473838
Consumer Discretionary,China,Medium Risk,13,2038,19.304210526315956
Consumer Discretionary,China,Medium Risk,14,2039,20.047105263158073
Consumer Discretionary,China,Medium Risk,15,2040,20.789999999999964
Consumer Discretionary,China,Medium Risk,16,2041,21.53289473684208
Consumer Discretionary,China,Medium Risk,17,2042,22.2757894736842
Consumer Discretionary,China,Medium Risk,18,2043,23.018684210526317
Consumer Discretionary,China,Medium Risk,19,2044,23.761578947368434
Consumer Discretionary,China,Medium Risk,20,2045,24.504473684210552
Consumer Discretionary,China,Medium Risk,21,2046,25.24736842105267
Consumer Discretionary,China,Medium Risk,22,2047,25.990263157894788
Consumer Discretionary,China,Medium Risk,23,2048,26.733157894736905
Consumer Discretionary,China,Medium Risk,24,2049,27.476052631579023
Consumer Discretionary,China,Medium Risk,25,2050,28.21894736842114
Consumer Discretionary,EU,High Risk,0,2025,126.2218421052603
Consumer Discretionary,EU,High Risk,1,2026,147.66105263157806
Consumer Discretionary,EU,High Risk,2,2027,169.10026315789582
Consumer Discretionary,EU,High Risk,3,2028,190.5394736842063
Consumer Discretionary,EU,High Risk,4,2029,211.97868421052408
Consumer Discretionary,EU,High Risk,5,2030,233.41789473684184
Consumer Discretionary,EU,High Risk,6,2031,254.8571052631596
Consumer Discretionary,EU,High Risk,7,2032,276.2963157894701
Consumer Discretionary,EU,High Risk,8,2033,297.73552631578787
Consumer Discretionary,EU,High Risk,9,2034,319.17473684210563
Consumer Discretionary,EU,High Risk,10,2035,340.6139473684234
Consumer Discretionary,EU,High Risk,11,2036,362.0531578947339
Consumer Discretionary,EU,High Risk,12,2037,383.49236842105165
Consumer Discretionary,EU,High Risk,13,2038,404.9315789473694
Consumer Discretionary,EU,High Risk,14,2039,426.3707894736799
Consumer Discretionary,EU,High Risk,15,2040,447.8099999999977
Consumer Discretionary,EU,High Risk,16,2041,469.24921052631544
Consumer Discretionary,EU,High Risk,17,2042,490.6884210526332
Consumer Discretionary,EU,High Risk,18,2043,512.1276315789437
Consumer Discretionary,EU,High Risk,19,2044,533.5668421052615
Consumer Discretionary,EU,High Risk,20,2045,555.0060526315792
Consumer Discretionary,EU,High Risk,21,2046,576.445263157897
Consumer Discretionary,EU,High Risk,22,2047,597.8844736842075
Consumer Discretionary,EU,High Risk,23,2048,619.3236842105252
Consumer Discretionary,EU,High Risk,24,2049,640.762894736843
Consumer Discretionary,EU,High Risk,25,2050,662.2021052631535
Consumer Discretionary,EU,Low Risk,0,2025,120.22026315789526
Consumer Discretionary,EU,Low Risk,1,2026,121.37157894736902
Consumer Discretionary,EU,Low Risk,2,2027,122.52289473684232
Consumer Discretionary,EU,Low Risk,3,2028,123.67421052631607
Consumer Discretionary,EU,Low Risk,4,2029,124.82552631578983
Consumer Discretionary,EU,Low Risk,5,2030,125.97684210526359
Consumer Discretionary,EU,Low Risk,6,2031,127.12815789473734
Consumer Discretionary,EU,Low Risk,7,2032,128.2794736842111
Consumer Discretionary,EU,Low Risk,8,2033,129.4307894736844
Consumer Discretionary,EU,Low Risk,9,2034,130.58210526315816
Consumer Discretionary,EU,Low Risk,10,2035,131.7334210526319
Consumer Discretionary,EU,Low Risk,11,2036,132.88473684210567
Consumer Discretionary,EU,Low Risk,12,2037,134.03605263157942
Consumer Discretionary,EU,Low Risk,13,2038,135.18736842105318
Consumer Discretionary,EU,Low Risk,14,2039,136.33868421052648
Consumer Discretionary,EU,Low Risk,15,2040,137.49000000000024
Consumer Discretionary,EU,Low Risk,16,2041,138.641315789474
Consumer Discretionary,EU,Low Risk,17,2042,139.79263157894775
Consumer Discretionary,EU,Low Risk,18,2043,140.9439473684215
Consumer Discretionary,EU,Low Risk,19,2044,142.09526315789526
Consumer Discretionary,EU,Low Risk,20,2045,143.24657894736856
Consumer Discretionary,EU,Low Risk,21,2046,144.39789473684232
Consumer Discretionary,EU,Low Risk,22,2047,145.54921052631607
Consumer Discretionary,EU,Low Risk,23,2048,146.70052631578983
Consumer Discretionary,EU,Low Risk,24,2049,147.8518421052636
Consumer Discretionary,EU,Low Risk,25,2050,149.00315789473734
Consumer Discretionary,EU,Medium Risk,0,2025,119.99631578947447
Consumer Discretionary,EU,Medium Risk,1,2026,129.62789473684097
Consumer Discretionary,EU,Medium Risk,2,2027,139.25947368421112
Consumer Discretionary,EU,Medium Risk,3,2028,148.89105263157762
Consumer Discretionary,EU,Medium Risk,4,2029,158.52263157894777
Consumer Discretionary,EU,Medium Risk,5,2030,168.1542105263179
Consumer Discretionary,EU,Medium Risk,6,2031,177.78578947368442
Consumer Discretionary,EU,Medium Risk,7,2032,187.41736842105456
Consumer Discretionary,EU,Medium Risk,8,2033,197.04894736842107
Consumer Discretionary,EU,Medium Risk,9,2034,206.6805263157912
Consumer Discretionary,EU,Medium Risk,10,2035,216.31210526315772
Consumer Discretionary,EU,Medium Risk,11,2036,225.94368421052786
Consumer Discretionary,EU,Medium Risk,12,2037,235.57526315789437
Consumer Discretionary,EU,Medium Risk,13,2038,245.2068421052645
Consumer Discretionary,EU,Medium Risk,14,2039,254.83842105263102
Consumer Discretionary,EU,Medium Risk,15,2040,264.47000000000116
Consumer Discretionary,EU,Medium Risk,16,2041,274.10157894736767
Consumer Discretionary,EU,Medium Risk,17,2042,283.7331578947378
Consumer Discretionary,EU,Medium Risk,18,2043,293.3647368421043
Consumer Discretionary,EU,Medium Risk,19,2044,302.99631578947447
Consumer Discretionary,EU,Medium Risk,20,2045,312.627894736841
Consumer Discretionary,EU,Medium Risk,21,2046,322.2594736842111
Consumer Discretionary,EU,Medium Risk,22,2047,331.8910526315776
Consumer Discretionary,EU,Medium Risk,23,2048,341.52263157894777
Consumer Discretionary,EU,Medium Risk,24,2049,351.1542105263179
Consumer Discretionary,EU,Medium Risk,25,2050,360.7857894736844
Consumer Discretionary,Global,High Risk,0,2025,27.946578947368835
Consumer Discretionary,Global,High Risk,1,2026,32.519473684211334
Consumer Discretionary,Global,High Risk,2,2027,37.092368421053834
Consumer Discretionary,Global,High Risk,3,2028,41.665263157894515
Consumer Discretionary,Global,High Risk,4,2029,46.238157894737014
