uid,scenario,year,carbon_cost_without_usd,total_cost_with_abatement_usd,net_savings_usd
C001,High Risk,2025,,,
C001,Low Risk,2025,,,
C001,Medium Risk,2025,,,
C001,High Risk,2026,,,
C001,Low Risk,2026,,,
C001,Medium Risk,2026,,,
C001,High Risk,2027,,,
C001,Low Risk,2027,,,
C001,Medium Risk,2027,,,
C001,High Risk,2028,,,
C001,Low Risk,2028,,,
C001,Medium Risk,2028,,,
C001,High Risk,2029,,,
C001,Low Risk,2029,,,
C001,Medium Risk,2029,,,
C001,High Risk,2030,,,
C001,Low Risk,2030,,,
C001,Medium Risk,2030,,,
C001,High Risk,2031,,,
C001,Low Risk,2031,,,
C001,Medium Risk,2031,,,
C001,High Risk,2032,,,
C001,Low Risk,2032,,,
C001,Medium Risk,2032,,,
C001,High Risk,2033,,,
C001,Low Risk,2033,,,
C001,Medium Risk,2033,,,
C001,High Risk,2034,,,
C001,Low Risk,2034,,,
C001,Medium Risk,2034,,,
C001,High Risk,2035,,,
C001,Low Risk,2035,,,
C001,Medium Risk,2035,,,
C001,High Risk,2036,,,
C001,Low Risk,2036,,,
C001,Medium Risk,2036,,,
C001,High Risk,2037,,,
C001,Low Risk,2037,,,
C001,Medium Risk,2037,,,
C001,High Risk,2038,,,
C001,Low Risk,2038,,,
C001,Medium Risk,2038,,,
C001,High Risk,2039,,,
C001,Low Risk,2039,,,
C001,Medium Risk,2039,,,
C001,High Risk,2040,,,
C001,Low Risk,2040,,,
C001,Medium Risk,2040,,,
C001,High Risk,2041,,,
C001,Low Risk,2041,,,
C001,Medium Risk,2041,,,
C001,High Risk,2042,,,
C001,Low Risk,2042,,,
C001,Medium Risk,2042,,,
C001,High Risk,2043,,,
C001,Low Risk,2043,,,
C001,Medium Risk,2043,,,
C001,High Risk,2044,,,
C001,Low Risk,2044,,,
C001,Medium Risk,2044,,,
C001,High Risk,2045,,,
C001,Low Risk,2045,,,
C001,Medium Risk,2045,,,
C001,High Risk,2046,,,
C001,Low Risk,2046,,,
C001,Medium Risk,2046,,,
C001,High Risk,2047,,,
C001,Low Risk,2047,,,
C001,Medium Risk,2047,,,
C001,High Risk,2048,,,
C001,Low Risk,2048,,,
C001,Medium Risk,2048,,,
C001,High Risk,2049,,,
C001,Low Risk,2049,,,
C001,Medium Risk,2049,,,
C001,High Risk,2050,,,
C001,Low Risk,2050,,,
C001,Medium Risk,2050,,,
C001,High Risk,2025,,,
C001,Low Risk,2025,,,
C001,Medium Risk,2025,,,
C001,High Risk,2026,,,
C001,Low Risk,2026,,,
C001,Medium Risk,2026,,,
C001,High Risk,2027,,,
C001,Low Risk,2027,,,
C001,Medium Risk,2027,,,
C001,High Risk,2028,,,
C001,Low Risk,2028,,,
C001,Medium Risk,2028,,,
C001,High Risk,2029,,,
C001,Low Risk,2029,,,
C001,Medium Risk,2029,,,
C001,High Risk,2030,,,
C001,Low Risk,2030,,,
C001,Medium Risk,2030,,,
C001,High Risk,2031,,,
C001,Low Risk,2031,,,
C001,Medium Risk,2031,,,
C001,High Risk,2032,,,
C001,Low Risk,2032,,,
C001,Medium Risk,2032,,,
C001,High Risk,2033,,,
C001,Low Risk,2033,,,
C001,Medium Risk,2033,,,
C001,High Risk,2034,,,
C001,Low Risk,2034,,,
C001,Medium Risk,2034,,,
C001,High Risk,2035,,,
C001,Low Risk,2035,,,
C001,Medium Risk,2035,,,
C001,High Risk,2036,,,
C001,Low Risk,2036,,,
C001,Medium Risk,2036,,,
C001,High Risk,2037,,,
C001,Low Risk,2037,,,
C001,Medium Risk,2037,,,
C001,High Risk,2038,,,
C001,Low Risk,2038,,,
C001,Medium Risk,2038,,,
C001,High Risk,2039,,,
C001,Low Risk,2039,,,
C001,Medium Risk,2039,,,
C001,High Risk,2040,,,
C001,Low Risk,2040,,,
C001,Medium Risk,2040,,,
C001,High Risk,2041,,,
C001,Low Risk,2041,,,
C001,Medium Risk,2041,,,
C001,High Risk,2042,,,
C001,Low Risk,2042,,,
C001,Medium Risk,2042,,,
C001,High Risk,2043,,,
C001,Low Risk,2043,,,
C001,Medium Risk,2043,,,
C001,High Risk,2044,,,
C001,Low Risk,2044,,,
C001,Medium Risk,2044,,,
C001,High Risk,2045,,,
C001,Low Risk,2045,,,
C001,Medium Risk,2045,,,
C001,High Risk,2046,,,
C001,Low Risk,2046,,,
C001,Medium Risk,2046,,,
C001,High Risk,2047,,,
C001,Low Risk,2047,,,
C001,Medium Risk,2047,,,
C001,High Risk,2048,,,
C001,Low Risk,2048,,,
C001,Medium Risk,2048,,,
C001,High Risk,2049,,,
C001,Low Risk,2049,,,
C001,Medium Risk,2049,,,
C001,High Risk,2050,,,
C001,Low Risk,2050,,,
C001,Medium Risk,2050,,,
C001,High Risk,2025,,,
C001,Low Risk,2025,,,
C001,Medium Risk,2025,,,
C001,High Risk,2026,,,
C001,Low Risk,2026,,,
C001,Medium Risk,2026,,,
C001,High Risk,2027,,,
C001,Low Risk,2027,,,
C001,Medium Risk,2027,,,
C001,High Risk,2028,,,
C001,Low Risk,2028,,,
C001,Medium Risk,2028,,,
C001,High Risk,2029,,,
C001,Low Risk,2029,,,
C001,Medium Risk,2029,,,
C001,High Risk,2030,,,
C001,Low Risk,2030,,,
C001,Medium Risk,2030,,,
C001,High Risk,2031,,,
C001,Low Risk,2031,,,
C001,Medium Risk,2031,,,
C001,High Risk,2032,,,
C001,Low Risk,2032,,,
C001,Medium Risk,2032,,,
